"341,01",5,5,10,BET,Entrada,Odd,P60,Media Movel 60,Acertos 60,Media Geral,,,Odd,P120,Media Movel 120,,Odd,P180,Media Movel 180,,Odd,P240,Media Movel 240,,Odd,P300,Media Movel 300,,Odd,P360,Media Movel 360,,Odd,P420,,,Odd,P480,,,Odd,P540,,,Odd,P600,,
74,"351,01",15,2,1,"5,56",1,0,"-0,1833",-11,"-0,3733","0,0186",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
75,"351,01",-10,0,0,"1,14",0,10,"-0,1667",-10,"-0,3684","0,0049",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
76,"351,01",15,2,0,"7,82",1,1,"-0,3333",-20,"-0,3506","0,0178",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
77,"351,01",-10,0,0,"1,66",0,0,"-0,3333",-20,"-0,3462","0,0045",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
78,"351,01",15,2,0,"3,62",1,1,"-0,3333",-20,"-0,3291","0,0170",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
79,"281,01",15,2,0,"10,58",1,1,"-0,3333",-20,"-0,3125","0,0166",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
80,"281,01",-10,0,0,"1,54",0,5,"-0,3333",-20,"-0,3086","0,0039",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
81,"281,01",-10,0,0,"1,15",0,1,"-0,4167",-25,"-0,3049","0,0038",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
82,"281,01",-10,0,0,"1,07",0,-10,"-0,4333",-26,"-0,3012","0,0037",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
83,"281,01",-10,0,0,"1,27",0,0,"-0,2667",-16,"-0,2976","0,0036",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
