t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,RATING1,RATING2,RATING3,,,
143,"2,5",0,"0,5944055944",0,"0,4755244755",0,"0,3916083916",0,"0,2937062937",0,"0,1398601399",0,"0,09090909091",0,"0,02797202797",0,"0,01398601399",0,"0,5166666667","0,5040817004","-0,8645675513","0,0003806584665","-0,01666666667","-0,06666666667","-0,01666666667","0,03333333333",0,"0,01666666667"
144,"2,93",1,"0,5972222222",1,"0,4791666667",0,"0,3888888889",0,"0,2916666667",0,"0,1388888889",0,"0,09027777778",0,"0,02777777778",0,"0,01388888889",1,"0,5166666667","0,5035393853","-0,8649482098","-0,0003806584665","-0,03333333333","-0,06666666667",0,"0,03333333333","-0,01666666667","0,03333333333"
145,"1,43",1,"0,6",1,"0,4827586207",1,"0,3931034483",0,"0,2896551724",0,"0,1379310345",0,"0,08965517241",0,"0,0275862069",0,"0,01379310345",1,"0,5166666667","0,5035393853","-0,8649482098",0,"-0,03333333333","-0,06666666667","-0,01666666667","0,03333333333",0,"0,01666666667"
146,"2,06",0,"0,595890411",0,"0,4794520548",0,"0,3904109589",0,"0,2876712329",0,"0,1369863014",0,"0,08904109589",0,"0,02739726027",0,"0,01369863014",0,"0,5166666667","0,5040817004","-0,8645675513","0,0003806584664","-0,01666666667","-0,06666666667","-0,03333333333","0,03333333333",0,"0,01666666667"
147,"1,06",1,"0,5986394558",0,"0,4761904762",0,"0,387755102",0,"0,2857142857",0,"0,1360544218",0,"0,08843537415",0,"0,02721088435",0,"0,01360544218",1,"0,5166666667","0,5035393853","-0,8682252188","-0,003657667436",0,"-0,05","-0,05","0,03333333333",0,"0,01666666667"
148,"2,32",0,"0,5945945946",0,"0,472972973",0,"0,3851351351",0,"0,2837837838",0,"0,1351351351",0,"0,08783783784",0,"0,02702702703",0,"0,01351351351",0,"0,5166666667","0,5040817004","-0,8678103013","0,0004149174366",0,"-0,03333333333","-0,03333333333","0,01666666667",0,"0,01666666667"
149,"1,8",1,"0,5973154362",1,"0,4765100671",0,"0,3825503356",0,"0,2818791946",0,"0,1342281879",0,"0,08724832215",0,"0,02684563758",0,"0,01342281879",1,"0,5","0,5040817004","-0,8685387234","-0,0007284220361","-0,01666666667","-0,03333333333","-0,05",0,"-0,01666666667","0,01666666667"
150,"10,14",1,"0,6",0,"0,4733333333",0,"0,38",0,"0,28",0,"0,1333333333",0,"0,08666666667",0,"0,02666666667",0,"0,01333333333",0,"0,5","0,5040817004","-0,8692820428","-0,0007433194449","-0,01666666667","-0,05","-0,03333333333","-0,01666666667","-0,01666666667","0,01666666667"
151,"33,72",1,"0,6026490066",1,"0,4768211921",1,"0,3841059603",1,"0,2847682119",1,"0,1390728477",1,"0,09271523179",0,"0,02649006623",0,"0,01324503311",1,"0,5","0,5040817004","-0,8705706919","-0,001288649116","-0,01666666667","-0,05","-0,05","-0,01666666667","-0,01666666667",0
152,"1,03",1,"0,6052631579",1,"0,4802631579",1,"0,3881578947",1,"0,2894736842",1,"0,1447368421",1,"0,09868421053",1,"0,03289473684",0,"0,01315789474",1,"0,5166666667","0,5035393853","-0,8711356293","-0,000564937408",0,"-0,01666666667","-0,03333333333",0,"-0,01666666667",0
153,"1,34",0,"0,6013071895",0,"0,477124183",0,"0,385620915",0,"0,2875816993",0,"0,1437908497",0,"0,09803921569",0,"0,03267973856",0,"0,01307189542",0,"0,5166666667","0,5040817004","-0,8705706919","0,000564937408",0,0,"-0,05",0,"-0,01666666667",0
154,"1,26",0,"0,5974025974",0,"0,474025974",0,"0,3831168831",0,"0,2857142857",0,"0,1428571429",0,"0,0974025974",0,"0,03246753247",0,"0,01298701299",0,"0,5","0,5040817004","-0,8713751645","-0,0008044725994","-0,01666666667","-0,01666666667","-0,08333333333","-0,03333333333","-0,05","-0,01666666667"
155,"1,02",0,"0,5935483871",0,"0,4709677419",0,"0,3806451613",0,"0,2838709677",0,"0,1419354839",0,"0,09677419355",0,"0,03225806452",0,"0,01290322581",0,"0,5","0,5040817004","-0,875944593","-0,004569428448",0,"-0,01666666667","-0,08333333333","-0,03333333333","-0,06666666667","-0,01666666667"
156,1,0,"0,5897435897",0,"0,4679487179",0,"0,3782051282",0,"0,2820512821",0,"0,141025641",0,"0,09615384615",0,"0,03205128205",0,"0,01282051282",0,"0,4833333333","0,5035393853","-0,8686457306","0,007298862325","-0,01666666667","-0,03333333333","-0,1","-0,03333333333","-0,06666666667","-0,05"
157,"10,08",0,"0,5859872611",0,"0,4649681529",0,"0,3757961783",0,"0,2802547771",0,"0,1401273885",0,"0,09554140127",0,"0,03184713376",0,"0,0127388535",0,"0,4666666667","0,5024529992","-0,8316557241","0,0369900065","-0,03333333333","-0,05","-0,1166666667","-0,06666666667","-0,06666666667","-0,05"
158,"2,98",1,"0,5886075949",1,"0,4683544304",1,"0,3797468354",1,"0,2848101266",1,"0,1455696203",1,"0,1012658228",0,"0,03164556962",0,"0,01265822785",1,"0,4666666667","0,5035393853","-0,8145859758","0,01706974829","-0,05","-0,05","-0,1166666667","-0,08333333333","-0,06666666667","-0,05"
159,"1,95",1,"0,5911949686",1,"0,4716981132",1,"0,3836477987",0,"0,2830188679",0,"0,1446540881",0,"0,1006289308",0,"0,03144654088",0,"0,01257861635",1,"0,4833333333","0,5040817004","-0,8178273291","-0,003241353268","-0,03333333333","-0,03333333333","-0,08333333333","-0,08333333333","-0,03333333333","-0,03333333333"
160,"3,34",1,"0,59375",0,"0,46875",0,"0,38125",0,"0,28125",0,"0,14375",0,"0,1",0,"0,03125",0,"0,0125",0,"0,5","0,5040817004","-0,8238251323","-0,005997803208",0,"-0,01666666667","-0,05","-0,05","-0,01666666667","-0,01666666667"
161,"1,53",1,"0,5962732919",1,"0,4720496894",1,"0,3850931677",0,"0,2795031056",0,"0,1428571429",0,"0,09937888199",0,"0,03105590062",0,"0,01242236025",1,"0,5","0,5040817004","-0,8298643363","-0,006039203951",0,0,"-0,03333333333","-0,05","-0,01666666667","-0,01666666667"
162,1,0,"0,5925925926",0,"0,4691358025",0,"0,3827160494",0,"0,2777777778",0,"0,1419753086",0,"0,0987654321",0,"0,03086419753",0,"0,01234567901",0,"0,5","0,5040817004","-0,8314425798","-0,001578243568","0,01666666667",0,"-0,05","-0,03333333333",0,"-0,01666666667"
163,"1,71",0,"0,5889570552",0,"0,4662576687",0,"0,3803680982",0,"0,2760736196",0,"0,1411042945",0,"0,0981595092",0,"0,03067484663",0,"0,01226993865",0,"0,4833333333","0,5035393853","-0,8280728335","0,003369746353","0,01666666667","-0,01666666667","-0,06666666667","-0,06666666667","-0,01666666667","-0,03333333333"
