,Rodada,level,apostar,acerto,contagem,odd,odd_entrada,odd_saida,media80,desvpad80geral,percentil80geral,cv80,roc80,media160,desvpad160geral,percentil160geral,cv160,roc160,media320,desvpad320geral,percentil320geral,cv320,roc320,media640,desvpad640geral,percentil640geral,cv640,roc640
98,98.0,1.0,0.0,1.0,3.0,16.35,11.0,11.0,6.25,3.1996093511552313,6.0625,1.953363462243731,-9.188034188034193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99.0,1.0,0.0,0.0,3.0,1.04,1.0,1.0,6.25,3.1996093511552313,6.0625,1.953363462243731,-12.109374999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100.0,1.0,0.0,1.0,3.0,3.86,9.0,9.0,6.2,3.249615361854384,6.0625,1.9079181101796574,-11.428571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101.0,1.0,0.0,1.0,3.0,9.72,10.0,10.0,6.1875,3.236872526065863,6.0625,1.9115674003759326,-13.461538461538467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,102.0,1.0,0.0,0.0,3.0,1.07,2.0,2.0,6.2625,3.254780138503982,6.06875,1.9240930979990798,-10.535714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,103.0,1.0,0.0,1.0,3.0,2.0,6.0,6.0,6.15,3.2446109165815242,6.075,1.8954506898101522,-14.36708860759493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104.0,1.0,0.0,1.0,3.0,2.48,7.0,7.0,6.15,3.2446109165815242,6.081250000000001,1.8954506898101522,-13.74999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105.0,1.0,0.0,0.0,3.0,1.02,1.0,1.0,6.175,3.2433585987368097,6.0875,1.9038906158588125,-12.307692307692314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,106.0,1.0,0.0,1.0,3.0,1.45,5.0,5.0,6.05,3.247691487810996,6.06875,1.862861673501448,-15.972222222222227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,107.0,1.0,0.0,0.0,3.0,1.01,1.0,1.0,6.0625,3.2416961224025918,6.0625,1.8701629551590302,-14.334239130434778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,108.0,1.0,0.0,1.0,3.0,8.07,10.0,10.0,5.9625,3.2727807366213826,6.0625,1.821845237990284,-16.58678756476683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
