,Odd,Odd_Categoria,odd_entrada
688,1.17,3,8.0
689,3.48,8,3.0
690,11.56,11,8.0
691,1.08,2,11.0
692,1.12,2,2.0
693,2.24,7,2.0
694,9.87,10,7.0
695,12.04,11,10.0
696,1.14,2,11.0
697,9.41,10,2.0
698,1.0,1,10.0
699,1.93,6,1.0
700,1.86,6,6.0
701,8.32,10,6.0
702,1.48,5,10.0
703,1.12,2,5.0
704,1.99,6,2.0
705,1.26,3,6.0
706,1.33,4,3.0
707,1.1,2,4.0
708,1.04,1,2.0
709,1.56,5,1.0
710,5.41,10,5.0
711,1.33,4,10.0
712,1.11,2,4.0
713,148.81,11,2.0
714,7.83,10,11.0
715,7.16,10,10.0
716,18.94,11,10.0
717,1.42,4,11.0
718,1.03,1,4.0
719,1.44,4,1.0
720,3.91,9,4.0
721,1.29,3,9.0
722,1.7,6,3.0
723,3.0,8,6.0
724,13.71,11,8.0
725,1.38,4,11.0
726,1.27,3,4.0
727,2.5,7,3.0
728,3.17,8,7.0
729,12.84,11,8.0
730,1.02,1,11.0
731,2.39,7,1.0
732,9.32,10,7.0
733,1.31,4,10.0
734,1.21,3,4.0
735,1.5,5,3.0
736,19.88,11,5.0
737,2.79,8,11.0
738,2.2,7,8.0
739,7.49,10,7.0
740,2.63,8,10.0
741,1.7,6,8.0
742,1.04,1,6.0
743,6.36,10,1.0
744,14.19,11,10.0
745,1.47,5,11.0
746,2.22,7,5.0
747,3.3,8,7.0
748,1.23,3,8.0
749,55.39,11,3.0
750,1.02,1,11.0
751,1.24,3,1.0
752,12.17,11,3.0
753,1.74,6,11.0
754,2.86,8,6.0
755,1.36,4,8.0
756,2.55,7,4.0
757,34.38,11,7.0
758,2.11,7,11.0
759,1.13,2,7.0
760,1.9,6,2.0
761,1.25,3,6.0
762,1.94,6,3.0
763,3.63,9,6.0
764,2.7,8,9.0
765,1.14,2,8.0
766,4.44,9,2.0
767,1.86,6,9.0
768,1.59,5,6.0
769,1.69,5,5.0
770,11.72,11,5.0
771,2.87,8,11.0
772,1.1,2,8.0
773,1.21,3,2.0
774,2.09,6,3.0
775,69.7,11,6.0
776,1.45,5,11.0
777,8.39,10,5.0
778,45.38,11,10.0
779,1.08,2,11.0
780,1.88,6,2.0
781,2.11,7,6.0
782,1.02,1,7.0
