,Odd,Odd_Categoria,odd_entrada
878,1.56,5,9.0
879,1.52,5,5.0
880,373.52,11,5.0
881,1.54,5,11.0
882,1.58,5,5.0
883,2.56,7,5.0
884,4.65,9,7.0
885,1.1,2,9.0
886,2.09,6,2.0
887,2.43,7,6.0
888,1.48,5,7.0
889,1.21,3,5.0
890,2.37,7,3.0
891,1.62,5,7.0
892,2.28,7,5.0
893,1.8,6,7.0
894,1.35,4,6.0
895,5.69,10,4.0
896,4.46,9,10.0
897,5.03,10,9.0
898,1.66,5,10.0
899,6.0,10,5.0
900,4.07,9,10.0
901,1.15,3,9.0
902,66.79,11,3.0
903,2.14,7,11.0
904,1.93,6,7.0
905,2.46,7,6.0
906,2.0,6,7.0
907,6.47,10,6.0
908,1.05,2,10.0
909,6.18,10,2.0
910,1.18,3,10.0
911,1.37,4,3.0
912,1.97,6,4.0
913,7.67,10,6.0
914,3.84,9,10.0
915,1.43,4,9.0
916,1.41,4,4.0
917,2.4,7,4.0
918,1.47,5,7.0
919,2.23,7,5.0
920,2.32,7,7.0
921,15.96,11,7.0
922,3.11,8,11.0
923,3.8,9,8.0
924,1.43,4,9.0
925,1.05,2,4.0
926,1.21,3,2.0
927,1.01,1,3.0
928,3.2,8,1.0
929,11.91,11,8.0
930,1.04,1,11.0
931,1.35,4,1.0
932,1.0,1,4.0
933,6.63,10,1.0
934,2.56,7,10.0
935,7.08,10,7.0
936,4.16,9,10.0
937,1.37,4,9.0
938,10.09,11,4.0
939,2.51,7,11.0
940,1.68,5,7.0
941,1.68,5,5.0
942,1.78,6,5.0
943,4.42,9,6.0
944,1.24,3,9.0
945,2.63,8,3.0
946,1.01,1,8.0
947,1.22,3,1.0
948,1.38,4,3.0
949,1.08,2,4.0
950,5.61,10,2.0
951,0.0,1,10.0
952,1.65,5,1.0
953,1.42,4,5.0
954,1.64,5,4.0
955,4.26,9,5.0
956,1.4,4,9.0
957,11.15,11,4.0
958,2.35,7,11.0
959,8.46,10,7.0
960,2.77,8,10.0
961,4.44,9,8.0
962,1.37,4,9.0
963,8.55,10,4.0
964,3.49,8,10.0
965,1.03,1,8.0
966,2.49,7,1.0
967,1.26,3,7.0
968,1.54,5,3.0
969,1.09,2,5.0
970,1.03,1,2.0
971,1.03,1,1.0
972,1.93,6,1.0
973,1.41,4,6.0
974,1.6,5,4.0
975,1.23,3,5.0
976,2.42,7,3.0
977,2.41,7,7.0
978,5.86,10,7.0
979,2.73,8,10.0
980,1.56,5,8.0
981,0.0,1,5.0
982,1.6,5,1.0
983,1.93,6,5.0
984,2.68,8,6.0
985,1.64,5,8.0
986,1.59,5,5.0
987,1.15,3,5.0
988,1.45,5,3.0
989,2.14,7,5.0
990,1.96,6,7.0
991,1.1,2,6.0
992,2.01,6,2.0
993,1.84,6,6.0
994,1.03,1,6.0
995,2.09,6,1.0
996,1.38,4,6.0
997,1.97,6,4.0
998,1.56,5,6.0
999,2.61,8,5.0
1000,22.56,11,8.0
1001,2.64,8,11.0
1002,1.75,6,8.0
1003,0.0,1,6.0
1004,1.86,6,1.0
1005,1.17,3,6.0
1006,7.92,10,3.0
1007,1.47,5,10.0
1008,1.44,4,5.0
1009,3.18,8,4.0
1010,1.66,5,8.0
1011,3.06,8,5.0
1012,2.72,8,8.0
1013,1.42,4,8.0
1014,1.05,2,4.0
1015,1.44,4,2.0
1016,7.71,10,4.0
1017,1.12,2,10.0
1018,1.93,6,2.0
1019,78.5,11,6.0
1020,1.22,3,11.0
1021,8.61,10,3.0
1022,4.55,9,10.0
1023,1.42,4,9.0
1024,4.5,9,4.0
1025,2.8,8,9.0
1026,2.85,8,8.0
1027,1.06,2,8.0
1028,1.51,5,2.0
1029,3.1,8,5.0
1030,5.47,10,8.0
1031,1.39,4,10.0
1032,1.31,4,4.0
1033,5.41,10,4.0
1034,1.71,6,10.0
1035,4.07,9,6.0
1036,3.4,8,9.0
1037,3.41,8,8.0
1038,1.82,6,8.0
1039,2.69,8,6.0
1040,2.04,6,8.0
1041,7.78,10,6.0
1042,161.36,11,10.0
1043,1.36,4,11.0
1044,3.16,8,4.0
1045,1.67,5,8.0
1046,1.12,2,5.0
1047,9.35,10,2.0
1048,2.0,6,10.0
1049,57.83,11,6.0
1050,1.84,6,11.0
1051,3.89,9,6.0
1052,1.42,4,9.0
1053,8.72,10,4.0
1054,1.31,4,10.0
1055,1.29,3,4.0
1056,1.66,5,3.0
1057,1.0,1,5.0
1058,4.89,9,1.0
1059,1.99,6,9.0
1060,1.88,6,6.0
1061,1.46,5,6.0
1062,1.45,5,5.0
1063,1.59,5,5.0
1064,1.42,4,5.0
1065,11.02,11,4.0
1066,15.45,11,11.0
1067,1.28,3,11.0
1068,6.76,10,3.0
1069,16.5,11,10.0
1070,1.49,5,11.0
1071,5.59,10,5.0
1072,1.05,2,10.0
1073,3.57,9,2.0
1074,2.45,7,9.0
1075,3.72,9,7.0
1076,1.46,5,9.0
1077,1.15,3,5.0
1078,1.17,3,3.0
1079,1.35,4,3.0
1080,1.55,5,4.0
1081,16.03,11,5.0
1082,1.81,6,11.0
1083,1.87,6,6.0
1084,1.84,6,6.0
1085,1.25,3,6.0
1086,7.09,10,3.0
1087,0.0,1,10.0
1088,19.09,11,1.0
1089,2.67,8,11.0
1090,2.97,8,8.0
1091,4.45,9,8.0
1092,10.34,11,9.0
1093,1.19,3,11.0
1094,38.86,11,3.0
1095,2.11,7,11.0
1096,1.05,2,7.0
1097,5.28,10,2.0
1098,1.06,2,10.0
1099,1.67,5,2.0
1100,1.55,5,5.0
1101,43.24,11,5.0
1102,83.38,11,11.0
1103,1.37,4,11.0
1104,2.45,7,4.0
1105,1.54,5,7.0
1106,2.68,8,5.0
1107,1.26,3,8.0
1108,1.68,5,3.0
1109,1.32,4,5.0
1110,2.61,8,4.0
1111,1.12,2,8.0
1112,1.0,1,2.0
1113,1.94,6,1.0
1114,3.12,8,6.0
1115,4.09,9,8.0
1116,5.57,10,9.0
1117,1.07,2,10.0
1118,1.31,4,2.0
1119,1.4,4,4.0
1120,1.37,4,4.0
1121,1.03,1,4.0
1122,1.3,4,1.0
1123,1.69,5,4.0
1124,5.7,10,5.0
1125,1.45,5,10.0
1126,1.1,2,5.0
1127,4.93,9,2.0
1128,1.83,6,9.0
1129,3.36,8,6.0
1130,2.7,8,8.0
1131,1.41,4,8.0
1132,3.28,8,4.0
1133,1.01,1,8.0
1134,3.33,8,1.0
1135,1.14,2,8.0
1136,0.0,1,2.0
1137,1.12,2,1.0
1138,1.71,6,2.0
1139,3.07,8,6.0
1140,1.96,6,8.0
1141,1.24,3,6.0
1142,15.43,11,3.0
1143,1.87,6,11.0
1144,3.15,8,6.0
1145,3.7,9,8.0
1146,1.08,2,9.0
