t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
530,"1,1",1,"0,5433962264",1,"0,4433962264",1,"0,3509433962",0,"0,2528301887",0,"0,1698113208",0,"0,08867924528",0,"0,04339622642",0,"0,009433962264",1,"0,4","0,4958847037",0,0,"0,8429616711","0,0186300652","-0,07558188754","-0,001258622234","0,02793263255","0,0000325602007","-0,03333333333","-0,05","-0,1","-0,06666666667","-0,06666666667","-0,05"
531,"17,23",0,"0,5423728814",0,"0,4425612053",0,"0,3502824859",0,"0,252354049",0,"0,1694915254",0,"0,08851224105",0,"0,04331450094",0,"0,009416195857",0,"0,4","0,4925677119",1,1,"0,8476969716","0,004735300579","-0,03328953749","-0,0005688435009","0,07043358001","0,00009169588024","-0,03333333333","-0,05","-0,1","-0,06666666667","-0,08333333333","-0,03333333333"
532,"42,72",1,"0,5432330827",1,"0,4436090226",1,"0,3515037594",1,"0,2537593985",1,"0,1710526316",1,"0,09022556391",0,"0,04323308271",0,"0,009398496241",1,"0,4","0,4958847037",0,0,"0,8587474459","0,01105047427","-0,07283364197","-0,001294454896","0,02595720686","0,00003542866176","-0,01666666667","-0,03333333333","-0,08333333333","-0,06666666667","-0,1","-0,03333333333"
533,"1,15",1,"0,5440900563",1,"0,4446529081",1,"0,3527204503",1,"0,2551594747",1,"0,1726078799",1,"0,09193245779",1,"0,04502814259",0,"0,009380863039",1,"0,4","0,4958847037",0,1,"0,8708804867","0,01213304078","-0,1059271941","-0,001939442802","-0,02736961783","-0,00003862899452","-0,01666666667","-0,05","-0,08333333333","-0,08333333333","-0,1","-0,01666666667"
534,"1,24",0,"0,543071161",0,"0,4438202247",0,"0,3520599251",0,"0,2546816479",0,"0,1722846442",0,"0,09176029963",0,"0,04494382022",0,"0,00936329588",0,"0,4","0,4925677119",0,0,"0,8722318627","0,001351375975","-0,08734838637","-0,001630386097","-0,001439226073","-0,000002167383361",0,"-0,03333333333","-0,06666666667","-0,08333333333","-0,1","-0,01666666667"
535,"53,01",0,"0,5420560748",0,"0,4429906542",0,"0,3514018692",0,"0,2542056075",0,"0,1719626168",0,"0,09158878505",0,"0,04485981308",0,"0,009345794393",0,"0,4","0,4925677119",0,0,"0,872878502","0,0006466393551","-0,051801204","-0,0009853981905","0,04511984242","0,00007209644979",0,"-0,03333333333","-0,06666666667","-0,08333333333","-0,08333333333","-0,01666666667"
536,"3,91",1,"0,5429104478",1,"0,4440298507",1,"0,3526119403",1,"0,2555970149",1,"0,1735074627",1,"0,09328358209",1,"0,04664179104",1,"0,01119402985",1,"0,4","0,4958847037",1,1,"0,8770426682","0,004164166219","-0,07200369785","-0,00140195288","0,02248816666","0,00003678286845",0,"-0,03333333333","-0,05","-0,08333333333","-0,06666666667","-0,03333333333"
537,"1,02",1,"0,5437616387",1,"0,4450651769",1,"0,3538175047",1,"0,2569832402",0,"0,1731843575",0,"0,09310986965",0,"0,04655493482",0,"0,01117318436",1,"0,4166666667","0,4986320084",0,0,"0,8761165368","-0,0009261314155","-0,08172301373","-0,001607990684","0,01930531146","0,00003171644053","0,01666666667","-0,01666666667","-0,01666666667","-0,08333333333","-0,06666666667","-0,01666666667"
538,"2,31",0,"0,5427509294",0,"0,4442379182",0,"0,3531598513",0,"0,2565055762",0,"0,1728624535",0,"0,09293680297",0,"0,04646840149",0,"0,01115241636",0,"0,4333333333","0,4986320084",1,1,"0,8768273499","0,0007108131047","-0,06381375193","-0,001258622234","0,04016266695","0,00006600609396","0,03333333333","0,01666666667","-0,01666666667","-0,06666666667","-0,06666666667","-0,01666666667"
539,"1,76",1,"0,5435992579",1,"0,4452690167",0,"0,3525046382",0,"0,2560296846",0,"0,172541744",0,"0,09276437848",0,"0,04638218924",0,"0,01113172542",1,"0,4166666667","0,4986320084",0,1,"0,8800303261","0,003202976143","-0,0867475309","-0,001728925916","0,01207905318","0,00001984694511","0,01666666667",0,"-0,03333333333","-0,1","-0,1","-0,03333333333"
