"22,11","0,5","0,5",1,BET,Entrada,Odd,P60,P120,P180,P240,P300,P360,P420,P480,P540,P600,P660,P720,P780,P840,P900,P960,P1020,P1080,P1140,P1200,P1260,P1320,P1380,P1440,P1500,P1560,P1620,P1680,P1740,P1800,P1860,P1920,P1980,P1200,Media Movel,Acertos 60,,Media Geral,P120,P240,P360,P480,P600,P720,P840,P960,P1080,P1200,P1320,,P180,P360,P540,P720,P780,P900,P1080,P1260,P1440,,P240,P480,P720,P960,P1200,P1440,P1680,P1920,,P300,P600,P900,P1200,P1500,P1800,,P360,P720,P1080,,,,,Corr,,EntroAtual,EntroPass,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,P(1),P(0),LOG(P(1);2),LOG(P(2);2),,,,,,
647,"22,11","-0,25",1,0,"1,96",0,0,0,1,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2454",0,1,0,1,1,,,,,,,,1,0,0,,,,,,,,1,1,,,,,,,,0,1,,,,,,0,,,,"0,2463","0,0289","0,3151","0,1237",,"0,9457","0,9710","-0,0253",1,1,2,2,1,1,1,2,0,2,,,,,,,,,,,,,,,4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966",4,6,"0,4","0,6","-1,321928095","-0,7369655942"
648,"22,11","1,75",2,0,"6,43",1,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2465",0,1,0,1,0,,,,,,,,0,0,1,,,,,,,,1,1,,,,,,,,0,0,,,,,,0,,,,"0,2492","0,0455","0,3181","0,1539",,"0,9457","0,8813","0,0644",0,1,0,2,0,1,0,2,2,1,,,,,,,,,,,,,,,4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966",3,7,"0,3","0,7","-1,736965594","-0,5145731728"
649,"22,11","-0,25",1,0,"1,85",0,1,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2462",0,1,1,0,0,,,,,,,,0,1,1,,,,,,,,1,0,,,,,,,,0,0,,,,,,1,,,,"0,2493","0,0589","0,3159","0,1512",,"0,9457","0,9710","-0,0253",2,1,1,2,1,2,1,0,2,1,,,,,,,,,,,,,,,4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966",4,6,"0,4","0,6","-1,321928095","-0,7369655942"
650,"22,11","-0,25",1,0,"1,51",0,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2458",1,0,0,0,0,,,,,,,,1,0,1,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2495","0,0386","0,3147","0,1234",,"0,8454","0,8813","-0,0359",0,2,2,1,0,1,1,0,2,1,,,,,,,,,,,,,,,3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186",3,7,"0,3","0,7","-1,736965594","-0,5145731728"
651,"22,11","-0,25",1,0,"1,58",0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2454",0,0,0,0,0,,,,,,,,1,0,0,,,,,,,,0,0,,,,,,,,1,0,,,,,,0,,,,"0,2494","0,0496","0,3147","0,1306",,"0,6840","0,7219","-0,0379",0,1,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172",2,8,"0,2","0,8","-2,321928095","-0,3219280949"
652,"22,11",-1,0,0,"1,17",0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2450",0,0,0,0,0,,,,,,,,0,0,1,,,,,,,,0,0,,,,,,,,1,0,,,,,,0,,,,"0,2491","0,0523","0,3146","0,1319",,"0,6840","0,7219","-0,0379",1,0,0,0,2,0,1,0,2,0,,,,,,,,,,,,,,,2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172",2,8,"0,2","0,8","-2,321928095","-0,3219280949"
653,"22,11",-1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2446",0,0,1,0,0,,,,,,,,1,1,1,,,,,,,,0,0,,,,,,,,1,0,,,,,,1,,,,"0,2450","0,0362","0,3125","0,1234",,"0,9457","0,9710","-0,0253",1,1,2,1,2,2,0,1,2,0,,,,,,,,,,,,,,,4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966",4,6,"0,4","0,6","-1,321928095","-0,7369655942"
654,"22,11",-1,0,0,"1,08",0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2443",0,0,1,0,0,,,,,,,,0,1,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,1,,,,"0,2476","0,0513","0,3136","0,1415",,"0,4395","0,4690","-0,0295",1,0,1,0,1,2,0,1,1,0,,,,,,,,,,,,,,,1,10,"0,09090909091","0,9090909091","-3,459431619","-0,1375035237",1,9,"0,1","0,9","-3,321928095","-0,1520030934"
655,"22,11","-0,25",1,0,"1,57",0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2439",0,0,0,0,0,,,,,,,,1,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2476","0,0549","0,3136","0,1351",,"0,6840","0,7219","-0,0379",2,0,2,1,0,0,1,0,0,0,,,,,,,,,,,,,,,2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172",2,8,"0,2","0,8","-2,321928095","-0,3219280949"
656,"22,11","-0,25",1,0,"2,81",0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2435",0,1,0,0,0,,,,,,,,0,0,0,,,,,,,,1,0,,,,,,,,0,0,,,,,,0,,,,"0,2468","0,0508","0,3147","0,1466",,"0,4395","0,4690","-0,0295",1,0,1,2,0,0,1,1,1,0,,,,,,,,,,,,,,,1,10,"0,09090909091","0,9090909091","-3,459431619","-0,1375035237",1,9,"0,1","0,9","-3,321928095","-0,1520030934"
657,"22,11","-0,25",1,0,"2,28",0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2432",0,0,0,0,0,,,,,,,,0,0,1,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2467","0,0547","0,3146","0,1405",,"0,6840","0,7219","-0,0379",2,1,1,1,0,0,1,1,2,0,,,,,,,,,,,,,,,2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172",2,8,"0,2","0,8","-2,321928095","-0,3219280949"
658,"22,11","1,75",2,0,"7,21",1,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2000",12,,"0,2443",0,0,0,0,0,,,,,,,,0,0,1,,,,,,,,0,0,,,,,,,,1,0,,,,,,0,,,,"0,2481","0,0668","0,3157","0,1553",,"0,8454","0,7219","0,1234",0,1,1,0,2,0,1,0,2,0,,,,,,,,,,,,,,,3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186",2,8,"0,2","0,8","-2,321928095","-0,3219280949"
659,"22,11",-1,0,0,"1,25",0,0,1,0,0,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2439",1,0,1,0,0,,,,,,,,0,1,1,,,,,,,,0,0,,,,,,,,1,0,,,,,,1,,,,"0,2441","0,0516","0,3137","0,1471",,"0,9457","0,9710","-0,0253",1,2,1,0,2,2,1,1,2,1,,,,,,,,,,,,,,,4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966",4,6,"0,4","0,6","-1,321928095","-0,7369655942"
660,"22,11","1,75",2,0,"17,14",1,0,0,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2451",0,0,1,0,1,,,,,,,,0,1,0,,,,,,,,0,0,,,,,,,,0,1,,,,,,1,,,,"0,2465","0,0656","0,3161","0,1744",,"0,9183","0,8454","0,0729",0,1,0,1,0,2,2,1,1,2,1,,,,,,,,,,,,,,4,8,"0,3333333333","0,6666666667","-1,584962501","-0,5849625007",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
661,"22,11","1,75",2,0,"33,04",1,0,0,1,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2462",0,0,0,0,1,,,,,,,,1,0,1,,,,,,,,0,0,,,,,,,,0,1,,,,,,0,,,,"0,2499","0,0962","0,3195","0,2016",,"0,9799","0,9457","0,0342",0,0,2,1,1,1,2,0,2,2,0,,,,,,,,,,,,,,5,7,"0,4166666667","0,5833333333","-1,263034406","-0,7776075787",4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966"
662,"22,11","-0,25",1,0,"2,59",0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2459",1,1,0,0,1,,,,,,,,1,0,0,,,,,,,,1,0,,,,,,,,1,1,,,,,,0,,,,"0,2499","0,1150","0,3169","0,1990",,"1,0000","0,9940","0,0060",0,2,2,2,2,1,1,0,1,2,2,,,,,,,,,,,,,,6,6,"0,5","0,5",-1,-1,6,5,"0,5454545455","0,4545454545","-0,8744691179","-1,137503524"
663,"22,11","-0,25",1,0,"2,33",0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2455",1,0,0,0,0,,,,,,,,1,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2500","0,1372","0,3160","0,2071",,"0,8113","0,8454","-0,0341",0,2,2,1,1,0,1,0,1,1,2,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
664,"22,11","1,75",2,0,"4,48",1,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2466",0,0,0,0,0,,,,,,,,0,0,1,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2508","0,1532","0,3164","0,2166",,"0,8113","0,6840","0,1272",0,1,0,1,0,0,0,0,2,0,2,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
665,"22,11",-1,0,0,"1,03",0,0,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2462",1,0,0,0,0,,,,,,,,1,0,1,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2488","0,1435","0,3155","0,2117",,"0,8113","0,8454","-0,0341",1,2,2,1,1,1,1,1,2,1,0,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
666,"22,11",-1,0,0,"1,25",0,0,0,0,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2459",0,1,0,1,1,,,,,,,,0,0,1,,,,,,,,1,1,,,,,,,,1,1,,,,,,0,,,,"0,2440","0,1202","0,3130","0,2044",,"1,0000","0,9940","0,0060",1,0,1,2,2,1,2,2,2,2,1,,,,,,,,,,,,,,6,6,"0,5","0,5",-1,-1,6,5,"0,5454545455","0,4545454545","-0,8744691179","-1,137503524"
667,"22,11","-0,25",1,0,"2,41",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2455",0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2406","0,1068","0,3143","0,2296",,"0,0000","0,0000","0,0000",1,1,0,0,1,1,0,1,0,1,1,,,,,,,,,,,,,,0,12,0,1,#NUM!,0,0,11,0,1,#NUM!,0
668,"22,11",-1,0,0,"1,17",0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2451",0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2434","0,1383","0,3154","0,2254",,"0,4138","0,4395","-0,0257",2,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,,,1,11,"0,08333333333","0,9166666667","-3,584962501","-0,1255308821",1,10,"0,09090909091","0,9090909091","-3,459431619","-0,1375035237"
669,"22,11","-0,25",1,0,"2,18",0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2448",0,0,1,0,0,,,,,,,,0,1,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,1,,,,"0,2426","0,1626","0,3165","0,2714",,"0,4138","0,4395","-0,0257",1,0,1,0,0,2,1,0,0,1,0,,,,,,,,,,,,,,1,11,"0,08333333333","0,9166666667","-3,584962501","-0,1255308821",1,10,"0,09090909091","0,9090909091","-3,459431619","-0,1375035237"
670,"22,11",-1,0,0,"1,02",0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2444",0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,1,0,,,,,,0,,,,"0,2427","0,1705","0,3167","0,2662",,"0,6500","0,6840","-0,0340",1,0,0,1,2,0,2,0,0,1,0,,,,,,,,,,,,,,2,10,"0,1666666667","0,8333333333","-2,584962501","-0,2630344058",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
671,"22,11","-0,25",1,0,"3,73",0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2440",0,0,0,1,1,,,,,,,,0,0,0,,,,,,,,0,1,,,,,,,,0,1,,,,,,0,,,,"0,2426","0,1700","0,3168","0,2673",,"0,6500","0,6840","-0,0340",0,0,1,0,1,0,1,2,1,2,1,,,,,,,,,,,,,,2,10,"0,1666666667","0,8333333333","-2,584962501","-0,2630344058",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
672,"22,11","1,75",2,0,"4,67",1,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2452",0,0,0,1,1,,,,,,,,0,0,0,,,,,,,,0,1,,,,,,,,1,1,,,,,,0,,,,"0,2450","0,1828","0,3191","0,2798",,"0,9183","0,8454","0,0729",1,0,1,0,2,0,0,2,0,2,0,,,,,,,,,,,,,,4,8,"0,3333333333","0,6666666667","-1,584962501","-0,5849625007",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
673,"22,11",-1,0,0,"1,27",0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2448",1,0,0,0,1,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,1,,,,,,0,,,,"0,2430","0,1741","0,3182","0,2813",,"0,8113","0,8454","-0,0341",1,2,1,0,1,0,2,0,1,2,0,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
674,"22,11","1,75",2,0,"5,98",1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2459",0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2372","0,1421","0,3106","0,2468",,"0,4138","0,0000","0,4138",1,1,1,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,1,11,"0,08333333333","0,9166666667","-3,584962501","-0,1255308821",0,11,0,1,#NUM!,0
675,"22,11","-0,25",1,0,"1,56",0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2833",17,,"0,2456",0,0,0,0,1,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,1,,,,,,0,,,,"0,2371","0,1578","0,3107","0,2366",,"0,6500","0,6840","-0,0340",2,1,1,0,1,1,0,0,0,2,0,,,,,,,,,,,,,,2,10,"0,1666666667","0,8333333333","-2,584962501","-0,2630344058",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
676,"22,11","-0,25",1,0,"2,17",0,0,1,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2452",1,0,0,0,0,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,1,0,,,,,,0,,,,"0,2372","0,1653","0,3098","0,2428",,"0,8113","0,8454","-0,0341",0,2,0,0,2,0,0,0,0,1,2,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
677,"22,11",-1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2448",0,1,0,1,1,,,,,,,,0,0,0,,,,,,,,1,1,,,,,,,,0,1,,,,,,0,,,,"0,2338","0,1596","0,3081","0,2392",,"0,9183","0,9457","-0,0274",2,1,1,2,1,0,1,2,0,2,0,,,,,,,,,,,,,,4,8,"0,3333333333","0,6666666667","-1,584962501","-0,5849625007",4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966"
678,"22,11","-0,25",1,0,"3,2",0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2445",0,1,0,0,0,,,,,,,,0,0,1,,,,,,,,1,0,,,,,,,,0,0,,,,,,0,,,,"0,2337","0,1414","0,3083","0,2240",,"0,6500","0,6840","-0,0340",0,1,1,2,0,0,1,1,2,1,1,,,,,,,,,,,,,,2,10,"0,1666666667","0,8333333333","-2,584962501","-0,2630344058",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
679,"22,11","1,75",2,0,"4,5",1,0,1,0,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2456",1,1,0,0,0,,,,,,,,0,0,1,,,,,,,,1,0,,,,,,,,1,0,,,,,,0,,,,"0,2369","0,1595","0,3116","0,2437",,"0,9799","0,9457","0,0342",0,2,0,2,2,0,0,0,2,1,0,,,,,,,,,,,,,,5,7,"0,4166666667","0,5833333333","-1,263034406","-0,7776075787",4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966"
680,"22,11",-1,0,0,"1,18",0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2452",0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2371","0,1823","0,3117","0,2567",,"0,6500","0,6840","-0,0340",2,0,0,0,0,1,1,0,1,0,2,,,,,,,,,,,,,,2,10,"0,1666666667","0,8333333333","-2,584962501","-0,2630344058",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
681,"22,11","-0,25",1,0,"2,54",0,1,0,0,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2449",0,1,1,0,1,,,,,,,,0,1,0,,,,,,,,1,0,,,,,,,,0,1,,,,,,1,,,,"0,2372","0,1908","0,3100","0,2589",,"0,9183","0,9457","-0,0274",2,0,0,2,0,2,1,1,0,2,0,,,,,,,,,,,,,,4,8,"0,3333333333","0,6666666667","-1,584962501","-0,5849625007",4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966"
682,"22,11","-0,25",1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2445",0,0,1,0,0,,,,,,,,0,1,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,1,,,,"0,2364","0,1678","0,3112","0,2490",,"0,4138","0,4395","-0,0257",0,0,0,1,0,2,0,1,0,0,0,,,,,,,,,,,,,,1,11,"0,08333333333","0,9166666667","-3,584962501","-0,1255308821",1,10,"0,09090909091","0,9090909091","-3,459431619","-0,1375035237"
683,"22,11","-0,25",1,0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2442",0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2332","0,1326","0,3124","0,2507",,"0,0000","0,0000","0,0000",0,1,1,1,1,1,0,0,1,0,0,,,,,,,,,,,,,,0,12,0,1,#NUM!,0,0,11,0,1,#NUM!,0
684,"22,11","-0,25",1,0,"1,91",0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2438",0,0,0,0,1,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,1,,,,,,0,,,,"0,2324","0,0830","0,3134","0,2494",,"0,4138","0,4395","-0,0257",1,1,0,1,0,0,0,0,0,2,1,,,,,,,,,,,,,,1,11,"0,08333333333","0,9166666667","-3,584962501","-0,1255308821",1,10,"0,09090909091","0,9090909091","-3,459431619","-0,1375035237"
685,"22,11","-0,25",1,0,"1,74",0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2434",0,0,0,1,0,,,,,,,,0,0,1,,,,,,,,0,1,,,,,,,,0,0,,,,,,0,,,,"0,2323","0,0859","0,3136","0,2443",,"0,6500","0,6840","-0,0340",1,1,0,1,1,0,1,2,2,0,0,,,,,,,,,,,,,,2,10,"0,1666666667","0,8333333333","-2,584962501","-0,2630344058",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
686,"22,11","1,75",2,0,"12,27",1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2445",0,0,1,0,0,,,,,,,,1,1,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,1,,,,"0,2332","0,0929","0,3140","0,2467",,"0,8113","0,6840","0,1272",1,1,2,1,1,2,1,0,1,0,1,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
687,"22,11","-0,25",1,0,"1,57",0,1,0,0,1,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2442",0,1,0,0,1,,,,,,,,0,0,0,,,,,,,,1,0,,,,,,,,0,1,,,,,,0,,,,"0,2332","0,0946","0,3118","0,2337",,"0,9799","0,9940","-0,0142",2,1,1,2,1,0,2,1,0,2,2,,,,,,,,,,,,,,5,7,"0,4166666667","0,5833333333","-1,263034406","-0,7776075787",5,6,"0,4545454545","0,5454545455","-1,137503524","-0,8744691179"
688,"22,11",-1,0,0,"1,32",0,1,1,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2438",1,0,1,0,0,,,,,,,,1,1,1,,,,,,,,0,0,,,,,,,,0,0,,,,,,1,,,,"0,2287","0,0496","0,3095","0,1983",,"1,0000","0,9940","0,0060",2,2,2,1,1,2,2,1,2,1,1,,,,,,,,,,,,,,6,6,"0,5","0,5",-1,-1,6,5,"0,5454545455","0,4545454545","-0,8744691179","-1,137503524"
689,"22,11","-0,25",1,0,"1,58",0,0,0,1,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2435",0,0,0,1,1,,,,,,,,1,0,0,,,,,,,,0,1,,,,,,,,0,1,,,,,,0,,,,"0,2288","0,0266","0,3078","0,1652",,"0,9183","0,9457","-0,0274",1,1,2,1,1,0,0,2,0,2,2,,,,,,,,,,,,,,4,8,"0,3333333333","0,6666666667","-1,584962501","-0,5849625007",4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966"
690,"22,11","-0,25",1,0,"3,09",0,0,1,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2431",1,0,0,0,0,,,,,,,,1,0,1,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2290","0,0263","0,3062","0,1664",,"0,9183","0,9457","-0,0274",0,2,2,0,1,0,2,1,2,1,1,,,,,,,,,,,,,,4,8,"0,3333333333","0,6666666667","-1,584962501","-0,5849625007",4,7,"0,3636363636","0,6363636364","-1,459431619","-0,6520766966"
691,"22,11","-0,25",1,0,"1,67",0,0,0,0,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2428",0,1,1,0,0,,,,,,,,0,1,1,,,,,,,,1,0,,,,,,,,1,0,,,,,,1,,,,"0,2291","0,0461","0,3041","0,1649",,"0,9799","0,9940","-0,0142",0,1,0,2,2,2,2,1,2,0,1,,,,,,,,,,,,,,5,7,"0,4166666667","0,5833333333","-1,263034406","-0,7776075787",5,6,"0,4545454545","0,5454545455","-1,137503524","-0,8744691179"
692,"22,11","-0,25",1,0,"2,13",0,0,0,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2424",0,0,0,0,0,,,,,,,,1,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2292","0,0691","0,3032","0,1725",,"0,8113","0,8454","-0,0341",0,1,2,1,0,1,2,1,1,0,2,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
693,"22,11",-1,0,0,"1,28",0,1,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2167",13,,"0,2421",0,0,1,0,1,,,,,,,,0,1,0,,,,,,,,0,0,,,,,,,,0,1,,,,,,1,,,,"0,2274","0,0719","0,3024","0,1739",,"0,8113","0,8454","-0,0341",2,0,1,0,1,2,0,0,1,2,0,,,,,,,,,,,,,,3,9,"0,25","0,75",-2,"-0,4150374993",3,8,"0,2727272727","0,7272727273","-1,874469118","-0,4594316186"
694,"22,11","-0,25",1,0,"1,51",0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"0,2000",12,,"0,2417",0,0,0,0,0,,,,,,,,1,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,0,,,,"0,2273","0,0601","0,3026","0,1661",,"0,6500","0,6840","-0,0340",2,1,2,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,2,10,"0,1666666667","0,8333333333","-2,584962501","-0,2630344058",2,9,"0,1818181818","0,8181818182","-2,459431619","-0,2895066172"
695,"22,11","-0,25",1,0,"3,33",0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"0,1833",11,,"0,2414",0,0,0,0,1,,,,,,,,0,0,0,,,,,,,,0,0,,,,,,,,0,1,,,,,,0,,,,"0,2265","0,0607","0,3037","0,1849",,"0,4138","0,4395","-0,0257",1,0,1,0,0,0,1,1,0,2,0,,,,,,,,,,,,,,1,11,"0,08333333333","0,9166666667","-3,584962501","-0,1255308821",1,10,"0,09090909091","0,9090909091","-3,459431619","-0,1375035237"
