t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
87,"4,28",0,"0,5057471264",0,"0,4482758621",0,"0,3333333333",0,"0,2298850575",0,"0,1264367816",0,"0,06896551724",0,"0,02298850575",0,"0,01149425287",0,"0,4833333333","0,5035393853",,,,,,,0,"0,03333333333",0,,,
88,"2,84",1,"0,5113636364",1,"0,4545454545",1,"0,3409090909",1,"0,2386363636",0,"0,125",0,"0,06818181818",0,"0,02272727273",0,"0,01136363636",1,"0,4833333333","0,5040817004",,,,,,,"-0,01666666667","0,01666666667",0,,,
89,"4,74",1,"0,5168539326",1,"0,4606741573",1,"0,3483146067",0,"0,2359550562",0,"0,1235955056",0,"0,06741573034",0,"0,02247191011",0,"0,01123595506",1,"0,5","0,5040817004",,,,,,,"0,01666666667","0,03333333333","0,01666666667",,,
90,"1,46",1,"0,5222222222",1,"0,4666666667",1,"0,3555555556",1,"0,2444444444",0,"0,1222222222",0,"0,06666666667",0,"0,02222222222",0,"0,01111111111",1,"0,5","0,5040817004",,,,,,,"0,01666666667","0,01666666667","0,03333333333",,,
91,"6,65",0,"0,5164835165",0,"0,4615384615",0,"0,3516483516",0,"0,2417582418",0,"0,1208791209",0,"0,06593406593",0,"0,02197802198",0,"0,01098901099",0,"0,5","0,5040817004",,,,,,,"0,01666666667","0,01666666667","0,01666666667",,,
92,"4,22",1,"0,5217391304",1,"0,4673913043",1,"0,3586956522",1,"0,25",1,"0,1304347826",0,"0,0652173913",0,"0,02173913043",0,"0,01086956522",1,"0,4833333333","0,5040817004",,,,,,,0,0,0,,,
93,"1,03",1,"0,5268817204",1,"0,4731182796",1,"0,3655913978",1,"0,2580645161",0,"0,1290322581",0,"0,06451612903",0,"0,02150537634",0,"0,01075268817",1,"0,4833333333","0,5040817004",,,,,,,0,0,0,,,
94,"2,41",0,"0,5212765957",0,"0,4680851064",0,"0,3617021277",0,"0,2553191489",0,"0,1276595745",0,"0,06382978723",0,"0,02127659574",0,"0,01063829787",0,"0,5","0,5040817004",,,,,,,"0,01666666667",0,"0,01666666667",,,
95,"2,35",1,"0,5263157895",1,"0,4736842105",0,"0,3578947368",0,"0,2526315789",0,"0,1263157895",0,"0,06315789474",0,"0,02105263158",0,"0,01052631579",1,"0,5","0,5040817004",,,,,,,0,"0,01666666667","0,01666666667",,,
96,"5,38",1,"0,53125",1,"0,4791666667",0,"0,3541666667",0,"0,25",0,"0,125",0,"0,0625",0,"0,02083333333",0,"0,01041666667",1,"0,5","0,5040817004",,,,,,,0,"0,01666666667","0,03333333333","0,5",,
